id,user_id,created_at,updated_at,start,end,timezone_offset,sport_id,score_state,score.strain,score.average_heart_rate,score.max_heart_rate,score.kilojoule,score.percent_recorded,score.distance_meter,score.altitude_gain_meter,score.altitude_change_meter,score.zone_duration.zone_zero_milli,score.zone_duration.zone_one_milli,score.zone_duration.zone_two_milli,score.zone_duration.zone_three_milli,score.zone_duration.zone_four_milli,score.zone_duration.zone_five_milli,score
492043128,96842,2022-08-16T01:50:40.697Z,2022-08-16T01:50:41.255Z,2022-08-16T00:49:57.656Z,2022-08-16T01:21:12.210Z,-05:00,0,SCORED,11.0533,144.0,183.0,1481.0627,100.0,0.0,0.0,0.0,0.0,192301.0,539295.0,312424.0,771934.0,58639.0,
491397683,96842,2022-08-14T23:48:56.185Z,2022-08-14T23:48:56.769Z,2022-08-14T22:51:05.059Z,2022-08-14T23:22:59.010Z,-05:00,0,SCORED,12.1592,149.0,182.0,1647.7278,100.0,0.0,0.0,0.0,13459.0,138466.0,429705.0,239365.0,1021857.0,71137.0,
490847536,96842,2022-08-14T01:15:52.149Z,2022-08-14T01:15:52.848Z,2022-08-14T00:17:16.183Z,2022-08-14T00:54:45.646Z,-05:00,0,SCORED,12.8252,153.0,190.0,2030.6654,100.0,0.0,0.0,0.0,0.0,12496.0,290356.0,847876.0,997839.0,100935.0,
490256602,96842,2022-08-13T02:06:46.252Z,2022-08-13T02:06:46.793Z,2022-08-13T01:20:10.507Z,2022-08-13T01:37:50.831Z,-05:00,0,SCORED,10.1911,159.0,184.0,1051.7219,100.0,0.0,0.0,0.0,0.0,26955.0,15381.0,304735.0,651768.0,61523.0,
489664062,96842,2022-08-12T02:46:22.602Z,2022-08-12T02:46:23.354Z,2022-08-12T01:21:21.844Z,2022-08-12T02:14:38.184Z,-05:00,-1,SCORED,9.3211,126.0,167.0,1715.1036,100.0,0.0,0.0,0.0,17343.0,699829.0,1522702.0,819994.0,136510.0,0.0,
489048049,96842,2022-08-11T02:14:49.592Z,2022-08-11T02:14:50.315Z,2022-08-11T00:58:38.019Z,2022-08-11T01:43:21.019Z,-05:00,0,SCORED,10.5707,132.0,179.0,1715.1305,100.0,0.0,0.0,0.0,145158.0,246133.0,1052617.0,747900.0,490269.0,961.0,
488404408,96842,2022-08-10T01:14:09.083Z,2022-08-10T01:14:09.600Z,2022-08-10T00:13:22.596Z,2022-08-10T00:42:33.140Z,-05:00,0,SCORED,12.3249,157.0,189.0,1676.4039,100.0,0.0,0.0,0.0,19265.0,12497.0,67292.0,566210.0,964195.0,121124.0,
486557730,96842,2022-08-06T23:26:13.960Z,2022-08-06T23:26:14.577Z,2022-08-06T22:20:14.945Z,2022-08-06T22:54:45.606Z,-05:00,-1,SCORED,9.2336,137.0,165.0,1454.7808,100.0,0.0,0.0,0.0,0.0,13458.0,734478.0,1311228.0,11536.0,0.0,
484800820,96842,2022-08-04T02:51:36.052Z,2022-08-04T02:51:45.450Z,2022-08-04T01:43:31.634Z,2022-08-04T02:18:38.825Z,-07:00,1,SCORED,8.9796,137.0,165.0,1404.7188,100.0,0.0,0.0,0.0,0.0,70175.0,752745.0,1223747.0,60563.0,0.0,
484786189,96842,2022-08-04T01:51:18.570Z,2022-08-04T01:51:19.175Z,2022-08-04T01:07:34.484Z,2022-08-04T01:28:28.003Z,-07:00,0,SCORED,9.3649,149.0,178.0,1049.0953,100.0,0.0,0.0,0.0,0.0,14420.0,356683.0,227832.0,654623.0,0.0,
482763903,96842,2022-07-31T17:19:57.339Z,2022-07-31T17:19:58.661Z,2022-07-31T15:36:38.521Z,2022-07-31T16:55:09.837Z,-05:00,-1,SCORED,11.5961,126.0,163.0,2601.966,100.0,0.0,0.0,0.0,95169.0,1250655.0,1885114.0,1465997.0,14419.0,0.0,
479312929,96842,2022-07-26T03:21:22.245Z,2022-07-26T03:21:23.311Z,2022-07-26T01:42:30.220Z,2022-07-26T02:54:41.880Z,-05:00,-1,SCORED,10.3786,125.0,154.0,2243.7405,100.0,0.0,0.0,0.0,201876.0,626810.0,2633027.0,869985.0,0.0,0.0,
476942768,96842,2022-07-22T03:47:21.306Z,2022-07-22T03:47:22.251Z,2022-07-22T02:10:24.260Z,2022-07-22T03:13:06.826Z,-05:00,-1,SCORED,9.3525,122.0,158.0,1834.164,100.0,0.0,0.0,0.0,86517.0,1014222.0,2017787.0,644079.0,0.0,0.0,
471450588,96842,2022-07-13T01:50:15.452Z,2022-07-13T01:50:16.031Z,2022-07-13T00:35:12.541Z,2022-07-13T01:19:53.590Z,-05:00,0,SCORED,10.9719,135.0,187.0,1715.0006,100.0,0.0,0.0,0.0,50949.0,514288.0,673901.0,910360.0,456622.0,74967.0,
